sent,identifier,headline,param_awareness_level,param_awareness_type,standardized_type,weather_pattern,headline_category
2021-08-07 09:37:43+00:00,2.49.0.1.372.0.210807093743.156543, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-07 10:56:11+00:00,2.49.0.1.372.0.210807105611.218476, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-07 12:43:01+00:00,2.49.0.1.372.0.210807124301.245403, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-07 16:20:29+00:00,2.49.0.1.372.0.210807162029.225982, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-07 23:02:00+00:00,2.49.0.1.372.0.210807230200.519826, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-08 04:03:11+00:00,2.49.0.1.372.0.210808040311.445988, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-08 11:10:48+00:00,2.49.0.1.372.0.210808111048.419332, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-08 12:09:02+00:00,2.49.0.1.372.0.210808120902.721504, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-08 14:25:58+00:00,2.49.0.1.372.0.210808142558.677370, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-08 16:16:30+00:00,2.49.0.1.372.0.210808161630.844082, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-08 18:00:35+00:00,2.49.0.1.372.0.210808180035.212020, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-09 12:49:46+00:00,2.49.0.1.372.0.210809124946.775153, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-09 13:07:06+00:00,2.49.0.1.372.0.210809130706.887739, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-09 14:25:24+00:00,2.49.0.1.372.0.210809142524.877681, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-11 10:14:43+00:00,2.49.0.1.372.0.210811101443.480610, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-11 10:26:13+00:00,2.49.0.1.372.0.210811102613.438216, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-11 10:45:01+00:00,2.49.0.1.372.0.210811104501.167690, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-11 10:50:01+00:00,2.49.0.1.372.0.210811105001.187837, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-11 11:59:42+00:00,2.49.0.1.372.0.210811115942.627172, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
