sent,headline,param_awareness_level,param_awareness_type,standardized_type,counties,counties_status,weather_pattern,headline_category
2021-10-07 16:13:03+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-07 22:01:31+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-08 04:06:10+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-08 05:15:28+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-08 10:15:33+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-08 14:55:51+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-08 15:00:02+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-08 15:09:25+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-08 15:20:00+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-08 15:53:30+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-08 21:20:39+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-09 23:34:38+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-10 03:38:17+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-10 12:57:56+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-10 16:04:40+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-10 21:53:43+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-12 11:39:40+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-12 12:52:49+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-12 21:15:39+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-22 10:18:24+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-22 10:55:23+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-22 11:18:49+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-23 03:53:38+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-23 03:56:17+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-23 04:07:19+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-23 04:11:32+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-23 05:59:24+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-23 08:09:24+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-23 10:21:55+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-23 16:31:23+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-23 16:39:59+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-23 16:45:42+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-23 17:27:09+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-26 11:40:18+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-26 11:47:07+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-26 15:23:39+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-26 23:14:36+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-27 04:03:04+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-27 10:58:52+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-27 11:25:01+00:00, warning for ,2; yellow; Moderate,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-27 16:34:57+00:00, warning for ,3; orange; Severe,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-27 17:59:22+00:00, warning for ,3; orange; Severe,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-27 18:06:03+00:00, warning for ,3; orange; Severe,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
2021-10-27 18:55:24+00:00, warning for ,3; orange; Severe,,nan,All,Has Data,No weather pattern found,Invalid Event (Warning for only)
