event_key,Issue Time,issue_count,first_issue,last_issue,Valid From,Valid To,warning_type,warning_text,location,warning_colour
"2023-07-13 10:51:51+00:00_2023-07-14 18:00:00+00:00_Yellow Rain_Yellow_Leinster, Cavan, Monaghan, Munster, Connacht",2023-07-13 10:51:51+00:00,1,2023-07-13 10:51:51+00:00,2023-07-13 10:51:51+00:00,2023-07-13 10:51:51+00:00,2023-07-14 18:00:00+00:00,Yellow Rain,"Spells of heavy rain on Friday
Blustery at times also, especially on south and east coasts. 

Possible impacts:
Localised flooding
Poor visibility
Difficult travelling conditions
","Leinster, Cavan, Monaghan, Munster, Connacht",Yellow
"2023-07-13 11:31:14+00:00_2023-07-14 18:00:00+00:00_Yellow Rain_Yellow_Leinster, Cavan, Monaghan, Munster, Connacht",2023-07-13 11:31:14+00:00,1,2023-07-13 11:31:14+00:00,2023-07-13 11:31:14+00:00,2023-07-13 11:31:14+00:00,2023-07-14 18:00:00+00:00,Yellow Rain,"Spells of heavy rain on Friday
Blustery at times also, especially on south and east coasts. 

Possible impacts:
Localised flooding
Poor visibility
Difficult travelling conditions
","Leinster, Cavan, Monaghan, Munster, Connacht",Yellow
"2023-07-13 12:01:52+00:00_2023-07-14 18:00:00+00:00_Yellow Rain_Yellow_Leinster, Cavan, Monaghan, Munster, Connacht",2023-07-13 12:01:52+00:00,1,2023-07-13 12:01:52+00:00,2023-07-13 12:01:52+00:00,2023-07-13 12:01:52+00:00,2023-07-14 18:00:00+00:00,Yellow Rain,"Spells of heavy rain on Friday
Blustery at times also, especially on south and east coasts. 

Possible impacts:
Localised flooding
Poor visibility
Difficult travelling conditions
","Leinster, Cavan, Monaghan, Munster, Connacht",Yellow
"2023-07-13 13:13:11+00:00_2023-07-14 18:00:00+00:00_Yellow Rain_Yellow_Leinster, Cavan, Monaghan, Munster, Connacht",2023-07-13 13:13:11+00:00,1,2023-07-13 13:13:11+00:00,2023-07-13 13:13:11+00:00,2023-07-13 13:13:11+00:00,2023-07-14 18:00:00+00:00,Yellow Rain,"Spells of heavy rain on Friday
Blustery at times also, especially on south and east coasts. 

Possible impacts:
Localised flooding
Poor visibility
Difficult travelling conditions
","Leinster, Cavan, Monaghan, Munster, Connacht",Yellow
2023-07-13 13:13:11+00:00_2023-07-14 23:00:00+00:00_Yellow Rain_Yellow_Donegal,2023-07-13 13:13:11+00:00,1,2023-07-13 13:13:11+00:00,2023-07-13 13:13:11+00:00,2023-07-13 13:13:11+00:00,2023-07-14 23:00:00+00:00,Yellow Rain,"Spells of heavy rain at times on Friday from noon onwards

Blustery at times also. 

Possible impacts:
Localised flooding
Poor visibility
Difficult travelling conditions
",Donegal,Yellow
"2023-07-13 16:19:44+00:00_2023-07-14 18:00:00+00:00_Yellow Rain_Yellow_Leinster, Cavan, Monaghan, Munster, Connacht",2023-07-13 16:19:44+00:00,1,2023-07-13 16:19:44+00:00,2023-07-13 16:19:44+00:00,2023-07-13 16:19:44+00:00,2023-07-14 18:00:00+00:00,Yellow Rain,"Spells of heavy rain on Friday
Blustery at times also, especially on south and east coasts. 

Possible impacts:
Localised flooding
Poor visibility
Difficult travelling conditions
","Leinster, Cavan, Monaghan, Munster, Connacht",Yellow
2023-07-13 16:19:44+00:00_2023-07-14 23:00:00+00:00_Yellow Rain_Yellow_Donegal,2023-07-13 16:19:44+00:00,1,2023-07-13 16:19:44+00:00,2023-07-13 16:19:44+00:00,2023-07-13 16:19:44+00:00,2023-07-14 23:00:00+00:00,Yellow Rain,"Spells of heavy rain at times on Friday from noon onwards

Blustery at times also. 

Possible impacts:
Localised flooding
Poor visibility
Difficult travelling conditions
",Donegal,Yellow
"2023-07-13 16:22:58+00:00_2023-07-14 18:00:00+00:00_Yellow Rain_Yellow_Leinster, Cavan, Monaghan, Munster, Connacht",2023-07-13 16:22:58+00:00,1,2023-07-13 16:22:58+00:00,2023-07-13 16:22:58+00:00,2023-07-13 16:22:58+00:00,2023-07-14 18:00:00+00:00,Yellow Rain,"Spells of heavy rain on Friday
Blustery at times also, especially on south and east coasts. 

Possible impacts:
Localised flooding
Poor visibility
Difficult travelling conditions
","Leinster, Cavan, Monaghan, Munster, Connacht",Yellow
2023-07-13 16:22:58+00:00_2023-07-14 23:00:00+00:00_Yellow Rain_Yellow_Donegal,2023-07-13 16:22:58+00:00,1,2023-07-13 16:22:58+00:00,2023-07-13 16:22:58+00:00,2023-07-13 16:22:58+00:00,2023-07-14 23:00:00+00:00,Yellow Rain,"Spells of heavy rain at times on Friday from noon onwards

Blustery at times also. 

Possible impacts:
Localised flooding
Poor visibility
Difficult travelling conditions
",Donegal,Yellow
"2023-07-13 16:42:06+00:00_2023-07-14 18:00:00+00:00_Yellow Rain_Yellow_Leinster, Cavan, Monaghan, Munster, Connacht",2023-07-13 16:42:06+00:00,1,2023-07-13 16:42:06+00:00,2023-07-13 16:42:06+00:00,2023-07-13 16:42:06+00:00,2023-07-14 18:00:00+00:00,Yellow Rain,"Spells of heavy rain on Friday
Blustery at times also, especially on south and east coasts. 

Possible impacts:
Localised flooding
Poor visibility
Difficult travelling conditions
","Leinster, Cavan, Monaghan, Munster, Connacht",Yellow
2023-07-13 16:42:06+00:00_2023-07-14 23:00:00+00:00_Yellow Rain_Yellow_Donegal,2023-07-13 16:42:06+00:00,1,2023-07-13 16:42:06+00:00,2023-07-13 16:42:06+00:00,2023-07-13 16:42:06+00:00,2023-07-14 23:00:00+00:00,Yellow Rain,"Spells of heavy rain at times on Friday from noon onwards

Blustery at times also. 

Possible impacts:
Localised flooding
Poor visibility
Difficult travelling conditions
",Donegal,Yellow
"2023-07-13 22:17:21+00:00_2023-07-14 18:00:00+00:00_Yellow Rain_Yellow_Leinster, Cavan, Monaghan, Munster, Connacht",2023-07-13 22:17:21+00:00,1,2023-07-13 22:17:21+00:00,2023-07-13 22:17:21+00:00,2023-07-13 22:17:21+00:00,2023-07-14 18:00:00+00:00,Yellow Rain,"Spells of heavy rain on Friday
Blustery at times also, especially on south and east coasts. 

Possible impacts:
Localised flooding
Poor visibility
Difficult travelling conditions
","Leinster, Cavan, Monaghan, Munster, Connacht",Yellow
