id,name,irish_name,county,country,type
18601,Curraghturk,Currach Toirc,Limerick,Republic of Ireland,Townland
18602,Curragh Upper,An Currach Uachtarach,Cork,Republic of Ireland,Townland
18603,Curragh Upper,An Currach Uachtarach,Offaly,Republic of Ireland,Townland
18604,Curraghvah,Currach Bheatha,Cavan,Republic of Ireland,Townland
18605,Curraghwalls,,Meath,Republic of Ireland,Townland
18606,Curraghweesha,,Kerry,Republic of Ireland,Townland
18607,Curragh West,An Currach Thiar,Cork,Republic of Ireland,Townland
18608,Curragh West,An Currach Thiar,Dublin,Republic of Ireland,Townland
18609,Curragh West,An Currach Thiar,Galway,Republic of Ireland,Town/Village
18610,Curraghwheery,Currach Fhoíre,Offaly,Republic of Ireland,Townland
18611,Curraghwood,,Wexford,Republic of Ireland,Townland
18612,Curraglass,Cora Ghlas,Cork,Republic of Ireland,Town/Village
18613,Curraglass,Corra Glasa,Kerry,Republic of Ireland,Townland
18614,Curraglass East,Cora Ghlas Thoir,Cork,Republic of Ireland,Townland
18615,Curraglass North,Corra Glasa Thuaidh,Kerry,Republic of Ireland,Townland
18616,Curraglass South,Corra Glasa Theas,Kerry,Republic of Ireland,Townland
18617,Curraglass West,Cora Ghlas Thiar,Cork,Republic of Ireland,Townland
18618,Curragraig,An Chorrghráig,Waterford,Republic of Ireland,Townland
18619,Curragraigue,An Chorrghráig,Kerry,Republic of Ireland,Townland
18620,Curragraigue,An Chorrghráig,Kerry,Republic of Ireland,Townland
18621,Curragrine,Cora Dhraighin,Cork,Republic of Ireland,Townland
18622,Curragunneen,Currach Guinín,Tipperary,Republic of Ireland,Town/Village
18623,Currahaly,Currach Cheallaigh,Cork,Republic of Ireland,Townland
18624,Currahchase,An Chora,Limerick,Republic of Ireland,Townland
